Lambda,DC,w,N,w_c,H,alpha_param,beta,S,Fitness,generation,fitness_strategy,target_center_nm,target_bw_nm,target_trans_bw_nm,w_rej,w_pass,w_trans
2.0255338959307202e-07,0.2816961909431672,4.890145565301671e-07,2,3.912116452241337e-07,12,1.3062779603430204,-2.5544943701726446,0,0.499638795855575,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.2461514514008223e-07,0.15294061359534022,4.7024539068773064e-07,152,3.7619631255018454e-07,5,1.8915751139575594,1.8565597443830142,2,0.4971592826937889,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.804923735471394e-07,0.8041912693194881,4.646066676491767e-07,188,3.54181747618641e-07,8,2.3413881461394594,1.6574009572673876,7,0.45382596335059383,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.7416795394528862,5.584071969982813e-07,157,3.321442424395499e-07,12,0.46782352695637097,-1.0155207579775638,0,0.49732566331969086,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.451057408188534e-07,0.2654351628334026,4.151803030494373e-07,347,2.1098121798358262e-07,9,1.889540296060391,-1.9383687038293476,4,0.4762220773080117,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.148748951389359e-07,0.44399389632840075,4.597668013101703e-07,105,2.0648613501075597e-07,1,2.9248550289620194,1.1180831479278424,6,0.42730873415198406,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.8968886913823776e-07,0.6846241530997286,4.1443931994931664e-07,393,3.3155145595945334e-07,8,1.1860640996299536,1.752854552300734,0,0.4224007362494645,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3404183501365918e-07,0.12289675545483042,5.03523644648161e-07,2,3.912116452241337e-07,12,0.48481506983021017,-2.575585382805831,3,0.4997624225056285,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.0255338959307202e-07,0.2816961909431672,4.819867728609399e-07,424,3.8558941828875195e-07,1,2.5704477953479468,-2.2130208221241525,3,0.49767069798321695,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.804923735471394e-07,0.8041912693194881,4.7024539068773064e-07,152,3.7619631255018454e-07,5,1.7492392494708489,1.8565597443830142,0,0.4927065313857897,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
3.333539284681646e-07,0.43792289400318635,5.166610662397657e-07,97,2.82182049845414e-07,1,0.8834916795429244,1.558766583538103,2,0.47833686732426883,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.386483937509352e-07,0.7416795394528862,5.584071969982813e-07,157,2.1352595576959968e-07,9,2.5704477953479468,-2.2130208221241525,3,0.4857545251811786,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.3404183501365918e-07,0.12289675545483042,5.03523644648161e-07,424,4.028189157185288e-07,1,1.889540296060391,-1.9383687038293476,4,0.497875187878538,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
2.9251794870927473e-07,0.4229492830489855,5.246467278045155e-07,16,3.321442424395499e-07,12,0.46782352695637097,-1.0155207579775638,0,0.47986974428746776,2,reflection_band,1450.0,5.0,20,0.5,0.2,0.3
